Kabupaten/Kota,Pengeluaran per Kapita (Minggu),Rata-rata Pengeluaran Rokok Perkapita Seminggu
Lombok Utara,181404,10022.37
Kota Mataram,296462,16499.23
Kota Bima,219135,18439.83
Sumba Barat,146673,12641.41
Sumba Timur,185404,17280.44
Kupang,149538,7931.35
Timor Tengah Selatan,136885,9071.96
Timor Tengah Utara,126135,11082.49
Belu,146019,12087.73
Alor,138423,12478.14
Lembata,146577,11494.08
Flores Timur,152269,15735.24
Sikka,160808,10715.87
Ende,181019,14908.31
Ngada,173019,15310.28
Manggarai,145769,13922.82
Rote Ndao,129212,9367.55
Manggarai Barat,146846,15622.19
Sumba Tengah,120923,10853.44
Sumba Barat Daya,130365,15358.82
Nagekeo,162173,10379.63
Manggarai Timur,118173,15323.78
Sabu Raijua,106885,13096.22
Malaka,120192,10888.10
Kota Kupang,259865,9544.77
Sambas,201192,14596.87
Bengkayang,182385,19625.02
Landak,153250,18965.19
Mempawah,154788,18816.80
Sanggau,168885,20095.16
Ketapang,181269,18418.14
Sintang,170346,21664.62
Kapuas Hulu,147462,22530.72
Sekadau,145500,16938.61
Melawi,169808,24792.48
Kayong Utara,158346,23448.50
Kubu Raya,175808,19203.05
Kota Pontianak,291173,17801.10
Kota Singkawang,232481,19098.42
Kotawaringin Barat,256769,22109.54
Kotawaringin Timur,231692,24819.12
Kapuas,218788,15765.98
Barito Selatan,226538,20147.50
Barito Utara,195808,26914.87
Sukamara,177404,35454.08
Lamandau,222288,31357.57
Seruyan,188865,31156.02
Katingan,212231,25410.88
Pulang Pisau,197558,19096.09
Gunung Mas,211346,29113.53
Barito Timur,225192,21473.69
Murung Raya,205712,18939.69
Kota Palangka Raya,275865,13491.15
Tanah Laut,225058,21021.90
Kotabaru,234442,23380.60
Banjar,247519,17021.08
Barito Kuala,196731,16160.55
Tapin,235519,17861.87
Hulu Sungai Selatan,253019,13264.71
Hulu Sungai Tengah,239385,14433.57
Hulu Sungai Utara,194846,12623.26
Tabalong,229115,14965.81
Tanah Bumbu,234942,20296.76
Balangan,224212,14604.85
Kota Banjarmasin,284038,12389.20
Kota Banjar Baru,271846,19843.40
Paser,215019,21375.36
Kutai Barat,206538,26256.03
Kutai Kartanegara,224558,20145.24
Kutai Timur,217731,27887.72
Berau,251827,23770.52
Penajam Paser Utara,228654,19799.05
Mahakam Ulu,157981,19116.21
Kota Balikpapan,297212,17387.20
Kota Samarinda,291577,13688.12
Kota Bontang,333212,14514.80
Malinau,198154,23589.87
Bulungan,185404,20071.60
Tana Tidung,154077,20801.93
Nunukan,143192,22931.46
Kota Tarakan,223000,16748.57
Bolaang Mongondow,204115,22490.56
Minahasa,244038,16875.12
Kepulauan Sangihe,223673,15498.89
Kepulauan Talaud,170558,15964.94
Minahasa Selatan,225327,12059.91
Minahasa Utara,222942,13061.11
Bolaang Mongondow Utara,178558,18667.60
Siau Tagulandang Biaro,161558,14874.05
Minahasa Tenggara,206788,18154.07
Bolaang Mongondow Selatan,177654,20254.58
Bolaang Mongondow Timur,180577,26273.71
Kota Manado,276904,13244.66
Kota Bitung,243558,19074.67
Kota Tomohon,235923,13088.45
Kota Kotamobagu,214442,17819.97
Banggai Kepulauan,148308,15781.08
Banggai,191596,21054.68
Morowali,217135,34258.24
Poso,177269,18540.15
Donggala,159673,19273.67
Toli-Toli,157519,17550.86
Buol,157231,20825.42
Parigi Moutong,193519,22870.94
Tojo Una-Una,155692,28249.00
Sigi,163423,20795.17
Banggai Laut,154558,20921.16
Morowali Utara,177731,20097.16
Kota Palu,291577,16750.95
Kepulauan Selayar,181654,19146.40
Bulukumba,210404,11973.96
Bantaeng,233327,20498.67
Jeneponto,181250,15529.05
Takalar,206654,17488.94
Gowa,188692,18415.10
Sinjai,187038,11893.43
Maros,219288,16247.77
Pangkajene dan Kepulauan,227250,17183.14
Barru,216827,17118.92
Bone,178404,16845.77
Soppeng,187615,15233.26
Wajo,244788,18652.98
Sidenreng Rappang,238058,20396.31
Pinrang,232731,17418.77
Enrekang,215058,14652.97
Luwu,198231,17907.24
Tana Toraja,145846,13808.63
Luwu Utara,232788,22208.86
Luwu Timur,251115,21634.27
Toraja Utara,163346,14478.10
Kota Makasar,334731,12067.71
Kota Parepare,269750,16045.80
Kota Palopo,257769,19277.78
Buton,146038,7046.34
Muna,160154,10268.12
Konawe,202923,20719.74
Kolaka,243058,16332.35
Konawe Selatan,179750,15879.42
Bombana,166923,22218.41
Wakatobi,187654,12274.30
Kolaka Utara,206173,20553.56
Buton Utara,152596,15230.34
Konawe Utara,185885,26558.98
Kolaka Timur,156827,16562.36
Konawe Kepulauan,138308,20801.15
Muna Barat,147462,14357.87
Buton Tengah,147500,10468.98
Buton Selatan,143769,10230.38
Kota Kendari,283942,13193.79
Kota Baubau,208365,10489.19
