Kabupaten_Kota;Pengeluaran_per_Kapita_(Orang/Tahun);Rata-rata_Pengeluaran_Rokok_Perkapita_Seminggu 
Lamongan;11648000;22913.30
Gresik;13384000;20061.91
Bangkalan;8971000;20625.93
Sampang;8944000;20786.57
Pamekasan;8967000;19603.92
Sumenep;9388000;31332.80
Kota Kediri;12762000;14499.04
Kota Blitar;14058000;14067.73
Kota Malang;16897000;13924.15
Kota Probolinggo;12571000;12338.77
Kota Pasuruan;13803000;17286.38
Kota Mojokerto;14054000;14044.42
Kota Madiun;16503000;12375.33
Kota Surabaya;18345000;16035.81
Kota Batu;13094000;19090.34
Pandeglang;8827000;28456.42
Lebak;8854000;37061.10
Tangerang;12427000;27999.06
Serang;10916000;32332.65
Kota Tangerang;14909000;25050.63
Kota Cilegon;13185000;27356.48
Kota Serang;13709000;27260.59
Kota Tangerang Selatan;15997000;20006.38
Jembrana;11915000;15716.72
Tabanan;14475000;14013.76
Badung;17445000;12288.33
Gianyar;14630000;10579.84
Klungkung;11500000;8977.81
Bangli;11424000;10935.43
Karangasem;10278000;7332.32
Buleleng;13529000;9759.07
Kota Denpasar;19850000;10460.83
Lombok Barat;11754000;15880.77
Lombok Tengah;10470000;15710.86
Lombok Timur;9631000;14064.10
Sumbawa;9598000;20540.97
Dompu;9203000;20388.12
Bima;8699000;20746.52
Sumbawa Barat;11987000;21373.45
Lombok Utara;9433000;10022.37
Kota Mataram;15416000;16499.23
Kota Bima;11395000;18439.83
Sumba Barat;7627000;12641.41
Sumba Timur;9641000;17280.44
Kupang;7776000;7931.35
Timor Tengah Selatan;7118000;9071.96
Timor Tengah Utara;6559000;11082.49
Belu;7593000;12087.73
Alor;7198000;12478.14
Lembata;7622000;11494.08
Flores Timur;7918000;15735.24
Sikka;8362000;10715.87
Ende;9413000;14908.31
Ngada;8997000;15310.28
Manggarai;7580000;13922.82
Rote Ndao;6719000;9367.55
Manggarai Barat;7636000;15622.19
Sumba Tengah;6288000;10853.44
Sumba Barat Daya;6779000;15358.82
Nagekeo;8433000;10379.63
Manggarai Timur;6145000;15323.78
Sabu Raijua;5558000;13096.22
Malaka;6250000;10888.10
Kota Kupang;13513000;9544.77
Sambas;10462000;14596.87
Bengkayang;9484000;19625.02
Landak;7969000;18965.19
Mempawah;8049000;18816.80
Sanggau;8782000;20095.16
Ketapang;9426000;18418.14
Sintang;8858000;21664.62
Kapuas Hulu;7668000;22530.72
Sekadau;7566000;16938.61
Melawi;8830000;24792.48
Kayong Utara;8234000;23448.50
Kubu Raya;9142000;19203.05
Kota Pontianak;15141000;17801.10
Kota Singkawang;12089000;19098.42
Kotawaringin Barat;13352000;22109.54
Kotawaringin Timur;12048000;24819.12
Kapuas;11377000;15765.98
Barito Selatan;11780000;20147.50
Barito Utara;10182000;26914.87
Sukamara;9225000;35454.08
Lamandau;11559000;31357.57
Seruyan;9821000;31156.02
Katingan;11036000;25410.88
Pulang Pisau;10273000;19096.09
Gunung Mas;10990000;29113.53
Barito Timur;11710000;21473.69
Murung Raya;10697000;18939.69
Kota Palangka Raya;14345000;13491.15
Tanah Laut;11703000;21021.90
Kotabaru;12191000;23380.60
Banjar;12871000;17021.08
Barito Kuala;10230000;16160.55
Tapin;12247000;17861.87
Hulu Sungai Selatan;13157000;13264.71
Hulu Sungai Tengah;12448000;14433.57
Hulu Sungai Utara;10132000;12623.26
Tabalong;11914000;14965.81
Tanah Bumbu;12217000;20296.76
Balangan;11659000;14604.85
Kota Banjarmasin;14770000;12389.20
Kota Banjar Baru;14136000;19843.40
Paser;11181000;21375.36
Kutai Barat;10740000;26256.03
Kutai Kartanegara;11677000;20145.24
Kutai Timur;11322000;27887.72
Berau;13095000;23770.52
Penajam Paser Utara;11890000;19799.05
Mahakam Ulu;8215000;19116.21
Kota Balikpapan;15455000;17387.20
Kota Samarinda;15162000;13688.12
Kota Bontang;17327000;14514.80
Malinau;10304000;23589.87
Bulungan;9641000;20071.60
Tana Tidung;8012000;20801.93
Nunukan;7446000;22931.46
Kota Tarakan;11596000;16748.57
Bolaang Mongondow;10614000;22490.56
Minahasa;12690000;16875.12
Kepulauan Sangihe;11631000;15498.89
Kepulauan Talaud;8869000;15964.94
Minahasa Selatan;11717000;12059.91
Minahasa Utara;11593000;13061.11
Bolaang Mongondow Utara;9285000;18667.60
Siau Tagulandang Biaro;8401000;14874.05
Minahasa Tenggara;10753000;18154.07
Bolaang Mongondow Selatan;9238000;20254.58
Bolaang Mongondow Timur;9390000;26273.71
Kota Manado;14399000;13244.66
Kota Bitung;12665000;19074.67
Kota Tomohon;12268000;13088.45
Kota Kotamobagu;11151000;17819.97
Banggai Kepulauan;7712000;15781.08
Banggai;9963000;21054.68
Morowali;11291000;34258.24
Poso;9218000;18540.15
Donggala;8303000;19273.67
Toli-Toli;8191000;17550.86
Buol;8176000;20825.42
Parigi Moutong;10063000;22870.94
Tojo Una-Una;8096000;28249.00
Sigi;8498000;20795.17
Banggai Laut;8037000;20921.16
Morowali Utara;9242000;20097.16
Kota Palu;15162000;16750.95
Kepulauan Selayar;9446000;19146.40
Bulukumba;10941000;11973.96
Bantaeng;12133000;20498.67
Jeneponto;9425000;15529.05
Takalar;10746000;17488.94
Gowa;9812000;18415.10
Sinjai;9726000;11893.43
Maros;11403000;16247.77
Pangkajene dan Kepulauan;11817000;17183.14
Barru;11275000;17118.92
Bone;9277000;16845.77
Soppeng;9756000;15233.26
Wajo;12729000;18652.98
Sidenreng Rappang;12379000;20396.31
Pinrang;12102000;17418.77
Enrekang;11183000;14652.97
Luwu;10308000;17907.24
Tana Toraja;7584000;13808.63
Luwu Utara;12105000;22208.86
Luwu Timur;13058000;21634.27
Toraja Utara;8494000;14478.10
Kota Makasar;17406000;12067.71
Kota Parepare;14027000;16045.80
Kota Palopo;13404000;19277.78
Buton;7594000;7046.34
Muna;8328000;10268.12
Konawe;10552000;20719.74
Kolaka;12639000;16332.35
Konawe Selatan;9347000;15879.42
Bombana;8680000;22218.41
Wakatobi;9758000;12274.30
Kolaka Utara;10721000;20553.56
Buton Utara;7935000;15230.34
Konawe Utara;9666000;26558.98
Kolaka Timur;8155000;16562.36
Konawe Kepulauan;7192000;20801.15
Muna Barat;7668000;14357.87
Buton Tengah;7670000;10468.98
Buton Selatan;7476000;10230.38
Kota Kendari;14765000;13193.79
Kota Baubau;10835000;10489.19
Boalemo;9543000;17449.71
Gorontalo;9850000;14848.97
Pohuwato;10913000;19249.92
Bone Bolango;10676000;14517.14
Gorontalo Utara;9636000;17652.83
Kota Gorontalo;13077000;14407.21
Majene;10152000;12813.86
Polewali Mandar;8726000;15238.61
Mamasa;7837000;10664.77
Mamuju;9668000;17733.11
Mamuju Utara / Pasangkayu;11330000;27400.40
Mamuju Tengah;8633000;22562.43
Maluku Tenggara Barat / Kepulauan Tanimbar;6473000;14611.81
Maluku Tenggara;7795000;12058.71
Maluku Tengah;10406000;14261.41
Buru;10414000;18000.08
Kepulauan Aru;7733000;14892.92
Seram Bagian Barat;8890000;13439.36
Seram Bagian Timur;9591000;16566.84
Maluku Barat Daya;7010000;10451.06
Buru Selatan;7716000;10261.29
Kota Ambon;14405000;16615.35
Kota Tual;7519000;13827.43
Halmahera Barat;7636000;15659.65
Halmahera Tengah;8212000;28241.99
Kepulauan Sula;7417000;17532.76
Halmahera Selatan;7479000;26711.38
Halmahera Utara;7774000;16286.28
Halmahera Timur;8230000;24192.08
Pulau Morotai;6767000;22247.27
Pulau Taliabu;6623000;20330.35
Kota Ternate;13586000;18596.15
Kota Tidore Kepulauan;8586000;21552.18
Fakfak;7678000;28376.81
Kaimana;8453000;17571.42
Teluk Wondama;8177000;27011.55
Teluk Bintuni;9979000;34674.53
Manokwari;12179000;19738.47
Sorong Selatan;6342000;15673.71
Sorong;7607000;23226.02
Tambrauw;5084000;27527.12
Maybrat;5425000;25219.97
Manokwari Selatan;5691000;20043.54
Pegunungan Arfak;5204000;5094.93
Merauke;10424000;24972.13
Jayapura;10230000;20167.41
Kepulauan Yapen;7685000;20689.52
Biak Numfor;9788000;10620.89
Boven Digoel;8086000;23725.38
Mappi;6550000;17303.82
Asmat;5860000;13981.72
Sarmi;6864000;19580.97
Keerom;9153000;26885.54
Waropen;6919000;19013.03
Supiori;5904000;13299.78
Mamberamo Raya;4806000;21997.23
